Type	Table	Name	Value	Description
	0163		LIJ	Left Internal Jugular
	0163		LLAQ	Left Lower Abd Quadrant
	0163		LLFA	Left Lower Forearm
	0163		LMFA	Left Mid Forearm
	0163		LN	Left Naris
	0163		LPC	Left Posterior Chest
	0163		LSC	Left Subclavian
	0163		LT	Left Thigh
	0163		LUA	Left Upper Arm
	0163		LUAQ	Left Upper Abd Quadrant
	0163		LUFA	Left Upper Forearm
	0163		LVG	Left Ventragluteal
	0163		LVL	Left Vastus Lateralis
	0163		NB	Nebulized
	0163		OD	Right Eye
	0163		OS	Left Eye
	0163		OU	Bilateral Eyes
	0163		PA	Perianal
	0163		PERIN	Perineal
	0163		RA	Right Arm
	0163		RAC	Right Anterior Chest
	0163		RACF	Right Antecubital Fossa
	0163		RD	Right Deltoid
	0163		RE	Right Ear
	0163		REJ	Right External Jugular
	0163		RF	Right Foot
	0163		RG	Right Gluteus Medius
	0163		RH	Right Hand
	0163		RIJ	Right Internal Jugular
	0163		RLAQ	Rt Lower Abd Quadrant
	0163		RLFA	Right Lower Forearm
	0163		RMFA	Right Mid Forearm
	0163		RN	Right Naris
	0163		RPC	Right Posterior Chest
	0163		RSC	Right Subclavian
	0163		RT	Right Thigh
	0163		RUA	Right Upper Arm
	0163		RUAQ	Right Upper Abd Quadrant
	0163		RUFA	Right Upper Forearm
	0163		RVG	Right Ventragluteal
	0163		RVL	Right Vastus Lateralis
HL7		Administration Device		
	0164		AP	Applicator
	0164		BT	Buretrol
	0164		HL	Heparin Lock
	0164		IPPB	IPPB
	0164		IVP	IV Pump
	0164		IVS	IV Soluset
	0164		MI	Metered Inhaler
	0164		NEB	Nebulizer
	0164		PCA	PCA Pump
HL7		Administration Method		
	0165		CH	Chew
	0165		DI	Dissolve
	0165		DU	Dust
	0165		IF	Infiltrate
	0165		IR	Irrigate
	0165		IS	Insert
	0165		IVP	IV Push
	0165		IVPB	IV Piggyback
	0165		NB	Nebulized
	0165		PF	Perfuse
	0165		PT	Pain
	0165		SH	Shampoo
	0165		SO	Soak
	0165		WA	Wash
	0165		WI	Wipe
HL7		RX Component Type		
	0166		A	Additive
	0166		B	Base
HL7		Substitution Status		
	0167		0	No product selection indicated
	0167		1	Substitution not allowed by prescriber
	0167		2	Substitution allowed - patient requested product dispensed
	0167		3	Substitution allowed - pharmacist selected product dispensed
	0167		4	Substitution allowed - generic drug not in stock
	0167		5	Substitution allowed - brand drug dispensed as a generic
	0167		7	Substitution not allowed - brand drug mandated by law
	0167		8	Substitution allowed - generic drug not available in marketplace
	0167		G	A generic substitution was dispensed.
	0167		N	No substitute was dispensed.  This is equivalent to the default (null) value.
	0167		T	A therapeutic substitution was dispensed.
HL7		Processing priority		
	0168		A	As soon as possible (a priority lower than stat)
	0168		B	Do at bedside or portable (may be used with other codes)
	0168		C	Measure continuously (e.g., arterial line blood pressure)
	0168		P	Preoperative (to be done prior to surgery)
	0168		R	Routine
	0168		S	Stat (do immediately)
	0168		T	Timing critical (do as near as possible to requested time)
HL7		Reporting priority		
	0169		C	Call back results
	0169		R	Rush reporting
HL7		Derived specimen		
	0170		C	Child Observation
	0170		N	Not Applicable
	0170		P	Parent Observation
User		Coordination of Benefits		
	0173		CO	Coordination
	0173		IN	Independent
User		Nature of Service/Test/Observation		
	0174		A	Atomic service/test/observation (test code or treatment code)
	0174		C	Single observation calculated via a rule or formula from other independent observations (e.g., Alveolar--arterial ratio, cardiac output)
	0174		F	Functional procedure that may consist of one or more interrelated measures (e.g., glucose tolerance test, creatinine clearance), usually done at different times and/or on different specimens
	0174		P	Profile or battery consisting of many independent atomic observations (e.g., SMA12, electrolytes), usually done at one instrument on one specimen
	0174		S	Superset--a set of batteries or procedures ordered under a single code unit but processed as separate batteries (e.g., routines = CBC, UA, electrolytes)
HL7		Master file identifier code		
	0175		CDM	Charge description master file
	0175		CLN	Clinic master file
	0175		CMA	Clinical study with phases and scheduled master file
	0175		CMB	Clinical study without phases but with scheduled master file
	0175		INV	Inventory master file
	0175		LOC	Location master file
	0175		OMA	Numerical observation master file
	0175		OMB	Categorical observation master file
	0175		OMC	Observation batteries master file
	0175		OMD	Calculated observations master file
	0175		OME	Other Observation/Service Item master file
	0175		PRA	Practitioner master file
	0175		STF	Staff master file
User		Confidentiality code		
	0177		AID	AIDS patient
	0177		EMP	Employee
	0177		ETH	Alcohol/drug treatment patient
	0177		HIV	HIV(+) patient
	0177		PSY	Psychiatric patient
	0177		R	Restricted
	0177		U	Usual control
	0177		UWM	Unwed mother
	0177		V	Very restricted
	0177		VIP	Very important person or celebrity
HL7		File level event code		
	0178		REP	Replace current version of this master file with the version contained in this message
	0178		UPD	Change file records as defined in the record-level event codes for each record that follows
HL7		Response level		
	0179		AL	Always.  All MFA segments (whether denoting errors or not) must be returned via the application-level acknowledgment message
	0179		ER	Error/Reject conditions only.  Only MFA segments denoting errors must be returned via the application-level acknowledgment for this message
	0179		NE	Never.  No application-level response needed
	0179		SU	Success.  Only MFA segments denoting success must be returned via the application-level acknowledgment for this message
HL7		Record-level event code		
	0180		MAC	Reactivate deactivated record
	0180		MAD	Add record to master file
	0180		MDC	Deactivate: discontinue using record in master file, but do not delete from database
	0180		MDL	Delete record from master file
	0180		MUP	Update record for master file
User		MFN record-level error return		
	0181		S	Successful posting of the record defined by the MFE segment
	0181		U	Unsuccessful posting of the record defined by the MFE segment
User		Staff type		
	0182		...	No suggested values defined
HL7		Active/Inactive		
	0183		A	Active Staff
	0183		I	Inactive Staff
User		Department		
	0184		...	No suggested values defined
HL7		Preferred method of contact		
	0185		B	Beeper Number
	0185		C	Cellular Phone Number
	0185		E	E-Mail Address (for backward compatibility)
	0185		F	FAX Number
	0185		H	Home Phone Number
	0185		O	Office Phone Number
HL7		Provider billing		
	0187		I	Institution bills for provider
	0187		P	Provider does own billing
User		Ethnic Group		
	0189		...	see chapter 3
	0189		H	Hispanic or Latino
	0189		N	Not Hispanic or Latino
	0189		U	Unknown
HL7		Address type		
	0190		B	Firm/Business
	0190		BA	Bad address
	0190		BDL	Birth delivery location (address where birth occurred)
	0190		BR	Residence at birth (home address at time of birth)
	0190		C	Current Or Temporary
	0190		F	Country Of Origin
	0190		H	Home
	0190		L	Legal Address
	0190		M	Mailing
	0190		N	Birth (nee) (birth address, not otherwise specified)
	0190		O	Office
	0190		P	Permanent
	0190		RH	Registry home. Refers to the information system, typically managed by a public health agency, that stores patient information such as immunization histories or cancer data, regardless of where the patient obtains services.
HL7		Type of referenced data		
	0191		AP	Other application data, typically uninterpreted binary data (HL7 V2.3 and later)
	0191		AU	Audio data (HL7 V2.3 and later)
	0191		FT	Formatted text (HL7 V2.2 only)
	0191		IM	Image data (HL7 V2.3 and later)
	0191		multipart	MIME multipart package
	0191		NS	Non-scanned image (HL7 V2.2 only)
	0191		SD	Scanned document (HL7 V2.2 only)
	0191		SI	Scanned image (HL7 V2.2 only)
	0191		TEXT	Machine readable text document (HL7 V2.3.1 and later)
	0191		TX	Machine readable text document (HL7 V2.2 only)
User		Amount class		
	0193		AT	Amount
	0193		LM	Limit
	0193		PC	Percentage
	0193		UL	Unlimited
HL7		Name type		
	0200		A	Alias Name
	0200		B	Name at Birth
	0200		C	Adopted Name
	0200		D	Display Name
	0200		I	Licensing Name
	0200		L	Legal Name
	0200		M	Maiden Name
	0200		N	Nickname /_Call me_ Name/Street Name
	0200		P	Name of Partner/Spouse (retained for backward compatibility only)
	0200		R	Registered Name (animals only)
	0200		S	Coded Pseudo-Name to ensure anonymity
	0200		T	Indigenous/Tribal/Community Name
	0200		U	Unspecified
HL7		Telecommunication use code		
	0201		ASN	Answering Service Number
	0201		BPN	Beeper Number
	0201		EMR	Emergency Number
	0201		NET	Network (email) Address
	0201		ORN	Other Residence Number
	0201		PRN	Primary Residence Number
	0201		VHN	Vacation Home Number
	0201		WPN	Work Number
HL7		Telecommunication equipment type		
	0202		BP	Beeper
	0202		CP	Cellular Phone
	0202		FX	Fax
	0202		Internet	Internet Address: Use Only If Telecommunication Use Code Is NET
	0202		MD	Modem
	0202		PH	Telephone
	0202		TDD	Telecommunications Device for the Deaf
	0202		TTY	Teletypewriter
	0202		X.400	X.400 email address: Use Only If Telecommunication Use Code Is NET
HL7		Identifier type		
	0203		AM	American Express
	0203		AN	Account number
	0203		ANC	Account number Creditor
	0203		AND	Account number debitor
	0203		ANON	Anonymous identifier
	0203		ANT	Temporary Account Number
	0203		APRN	Advanced Practice Registered Nurse number
	0203		BA	Bank Account Number
	0203		BC	Bank Card Number
	0203		BR	Birth registry number
	0203		BRN	Breed Registry Number
	0203		CC	Cost Center number
	0203		CY	County number
	0203		DDS	Dentist license number
	0203		DEA	Drug Enforcement Administration registration number
	0203		DFN	Drug Furnishing or prescriptive authority Number
	0203		DI	Diner_s Club card
	0203		DL	Driver_s license number
	0203		DN	Doctor number
	0203		DO	Osteopathic License number
	0203		DPM	Podiatrist license number
	0203		DR	Donor Registration Number
	0203		DS	Discover Card
	0203		EI	Employee number
	0203		EN	Employer number
	0203		FI	Facility ID
	0203		GI	Guarantor internal identifier
	0203		GL	General ledger number
	0203		GN	Guarantor external  identifier
	0203		HC	Health Card Number
	0203		IND	Indigenous/Aboriginal
	0203		JHN	Jurisdictional health number (Canada)
	0203		LI	Labor and industries number
	0203		LN	License number
	0203		LR	Local Registry ID
	0203		MA	Patient Medicaid number
	0203		MB	Member Number
	0203		MC	Patient's Medicare number
	0203		MCD	Practitioner Medicaid number
	0203		MCN	Microchip Number
	0203		MCR	Practitioner Medicare number
	0203		MD	Medical License number
	0203		MI	Military ID number
	0203		MR	Medical record number
	0203		MRT	Temporary Medical Record Number
	0203		MS	MasterCard
	0203		NE	National employer identifier
	0203		NH	National Health Plan Identifier
	0203		NI	National unique individual identifier
	0203		NII	National Insurance Organization Identifier
	0203		NIIP	National Insurance Payor Identifier (Payor)
	0203		NNxxx	National Person Identifier where the xxx is the ISO table 3166 3-character (alphabetic) country code
	0203		NP	Nurse practitioner number
	0203		NPI	National provider identifier
	0203		OD	Optometrist license number
	0203		PA	Physician Assistant number
	0203		PCN	Penitentiary/correctional institution Number
	0203		PE	Living Subject Enterprise Number
	0203		PEN	Pension Number
	0203		PI	Patient internal identifier
	0203		PN	Person number
	0203		PNT	Temporary Living Subject Number
	0203		PPN	Passport number
	0203		PRC	Permanent Resident Card Number
	0203		PRN	Provider number
	0203		PT	Patient external identifier
	0203		QA	QA number
	0203		RI	Resource identifier
	0203		RN	Registered Nurse Number
	0203		RPH	Pharmacist license number
	0203		RR	Railroad Retirement number
	0203		RRI	Regional registry ID
	0203		SL	State license
	0203		SN	Subscriber Number
	0203		SR	State registry ID
	0203		SS	Social Security number
	0203		TAX	Tax ID number
	0203		TN	Treaty Number/ (Canada)
	0203		U	Unspecified identifier
	0203		UPIN	Medicare/CMS (formerly HCFA)_s Universal Physician Identification numbers
	0203		VN	Visit number
	0203		VS	VISA
	0203		WC	WIC identifier
	0203		WCN	Workers_ Comp Number
	0203		XX	Organization identifier
User		Organizational name type		
	0204		A	Alias name
	0204		D	Display name
	0204		L	Legal name
	0204		SL	Stock exchange listing name
HL7		Price type		
	0205		AP	administrative price or handling fee
	0205		DC	direct unit cost
	0205		IC	indirect unit cost
	0205		PF	professional fee for performing provider
	0205		TF	technology fee for use of equipment
	0205		TP	total price
	0205		UP	unit price, may be based on length of procedure or service
HL7		Segment action code		
	0206		A	Add/Insert
	0206		D	Delete
	0206		U	Update
HL7		Processing mode		
	0207		A	Archive
	0207		I	Initial load
	0207		Not present	Not present (the default, meaning current  processing)
	0207		R	Restore from archive
	0207		T	Current processing, transmitted at intervals (scheduled or on demand)
HL7		Query Response Status		
	0208		AE	Application error
	0208		AR	Application reject
	0208		NF	No data found, no errors
	0208		OK	Data found, no errors (this is the default)
HL7		Relational operator		
	0209		CT	Contains
	0209		EQ	Equal
	0209		GE	Greater than or equal
	0209		GN	Generic
	0209		GT	Greater than
	0209		LE	Less than or equal
	0209		LT	Less than
	0209		NE	Not Equal
HL7		Relational conjunction		
	0210		AND	Default
	0210		OR	
HL7		Alternate character sets		
	0211		8859/1	The printable characters from the ISO 8859/1 Character set
	0211		8859/2	The printable characters from the ISO 8859/2 Character set
	0211		8859/3	The printable characters from the ISO 8859/3 Character set
	0211		8859/4	The printable characters from the ISO 8859/4 Character set
	0211		8859/5	The printable characters from the ISO 8859/5 Character set
	0211		8859/6	The printable characters from the ISO 8859/6 Character set
	0211		8859/7	The printable characters from the ISO 8859/7 Character set
	0211		8859/8	The printable characters from the ISO 8859/8 Character set
	0211		8859/9	The printable characters from the ISO 8859/9 Character set
	0211		ASCII	The printable 7-bit ASCII character set.
	0211		BIG-5	Code for Taiwanese Character Set (BIG-5)
	0211		CNS 11643-1992	Code for Taiwanese Character Set (CNS 11643-1992)
	0211		GB 18030-2000	Code for Chinese Character Set (GB 18030-2000)
	0211		ISO IR14	Code for Information Exchange (one byte)(JIS X 0201-1976).
	0211		ISO IR159	Code of the supplementary Japanese Graphic Character set for information interchange (JIS X 0212-1990).
	0211		ISO IR87	Code for the Japanese Graphic Character set for information interchange (JIS X 0208-1990),
	0211		KS X 1001	Code for Korean Character Set (KS X 1001)
	0211		UNICODE	The world wide character standard from ISO/IEC 10646-1-1993
	0211		UNICODE UTF-16	UCS Transformation Format, 16-bit form
	0211		UNICODE UTF-32	UCS Transformation Format, 32-bit form
	0211		UNICODE UTF-8	UCS Transformation Format, 8-bit form
User		Purge Status Code		
	0213		D	The visit is marked for deletion and the user cannot enter new data against it.
	0213		I	The visit is marked inactive and the user cannot enter new data against it.
	0213		P	Marked for purge.  User is no longer able to update the visit.
User		Special Program Code		
	0214		CH	Child Health Assistance
	0214		ES	Elective Surgery Program
	0214		FP	Family Planning
	0214		O	Other
	0214		U	Unknown
User		Publicity Code		
	0215		F	Family only
	0215		N	No Publicity
	0215		O	Other
	0215		U	Unknown
User		Patient Status Code		
	0216		AI	Active Inpatient
	0216		DI	Discharged Inpatient
User		Visit Priority Code		
	0217		1	Emergency
	0217		2	Urgent
	0217		3	Elective
User		Living Arrangement		
	0220		A	Alone
	0220		F	Family
	0220		I	Institution
	0220		R	Relative
	0220		S	Spouse Only
	0220		U	Unknown
User		Living Dependency		
	0223		C	Small Children Dependent
	0223		M	Medical Supervision Required
	0223		O	Other
	0223		S	Spouse Dependent
	0223		U	Unknown
HL7		Transport Arranged		
	0224		A	Arranged
	0224		N	Not Arranged
	0224		U	Unknown
HL7		Escort Required		
	0225		N	Not Required
	0225		R	Required
	0225		U	Unknown
HL7		Manufacturers of Vaccines (code=MVX)		
	0227		AB	Abbott Laboratories
	0227		AD	Adams Laboratories, Inc.
	0227		ALP	Alpha Therapeutic Corporation
	0227		AR	Armour
	0227		AVB	Aventis Behring L.L.C.
	0227		AVI	Aviron
	0227		BA	Baxter Healthcare Coporation]
	0227		BAH	Baxter Health Corporation
	0227		BAY	Bayer Corporation
	0227		BP	Berna Products
	0227		BPC	Berna Products Corporation
	0227		CEN	Centeon L.L.C.
	0227		CHI	Chiron Corporation
	0227		CMP	Celltech Medeva Pharmaceuticals
	0227		CON	Connaught
	0227		EVN	Evans Medical Limited
	0227		GRE	Greer Laboratories, Inc.
	0227		IAG	Immuno International AG
	0227		IM	Merieux
	0227		IUS	Immuno-U.S., Inc.
	0227		JPN	The Research Foundation for Microbial Diseases of Osaka University
	0227		KGC	Korea Green Cross Corporation
	0227		LED	Lederle
	0227		MA	Massachusetts Public Health Biologic Laboratories
	0227		MBL	Massachusetts Biologic Laboratories
	0227		MED	MedImmune, Inc.
	0227		MIL	Miles
	0227		MIP	Bioport Corporation
	0227		MSD	Merck & Co., Inc.
	0227		NAB	NABI
	0227		NAV	North American Vaccine, Inc.
	0227		NOV	Novartis Pharmaceutical Corporation
	0227		NYB	New York Blood Center
	0227		ORT	Ortho-Clinical Diagnostics.
	0227		OTC	Organon Teknika Corporation
	0227		OTH	Other manufacturer
	0227		PD	Parkedale Pharmaceuticals
	0227		PMC	Aventis Pasteur Inc.
	0227		PRX	Praxis Biologics
	0227		PWJ	PowerJect Pharamaceuticals
	0227		SCL	Sclavo, Inc.
	0227		SI	Swiss Serum and Vaccine Inst.
	0227		SKB	GlaxoSmithKline
	0227		UNK	Unknown manufacturer
	0227		USA	United States Army Medical Research and Material Command
	0227		WA	Wyeth-Ayerst
	0227		WAL	Wyeth-Ayerst
User		Diagnosis Classification		
	0228		C	Consultation
	0228		D	Diagnosis
	0228		I	Invasive procedure not classified elsewhere (I.V., catheter, etc.)
	0228		M	Medication (antibiotic)
	0228		O	Other
	0228		R	Radiological scheduling (not using ICDA codes)
	0228		S	Sign and symptom
	0228		T	Tissue diagnosis
User		DRG Payor		
	0229		C	Champus
	0229		G	Managed Care Organization
	0229		M	Medicare
User		Procedure Functional Type		
	0230		A	Anesthesia
	0230		D	Diagnostic procedure
	0230		I	Invasive procedure not classified elsewhere (e.g., IV, catheter, etc.)
	0230		P	Procedure for treatment (therapeutic, including operations)
User		Student Status		
	0231		F	Full-time student
	0231		N	Not a student
	0231		P	Part-time student
User		Insurance Company Contact Reason		
	0232		01	Medicare claim status
	0232		02	Medicaid claim status
	0232		03	Name/address change
HL7		Report timing		
	0234		10D	10 day report
	0234		15D	15 day report
	0234		30D	30 day report
	0234		3D	3 day report
	0234		7D	7 day report
	0234		AD	Additional information
	0234		CO	Correction
	0234		DE	Device evaluation
	0234		PD	Periodic
	0234		RQ	Requested information
HL7		Report source		
	0235		C	Clinical trial
	0235		D	Database/registry/poison control center
	0235		E	Distributor
	0235		H	Health professional
	0235		L	Literature
	0235		M	Manufacturer/marketing authority holder
	0235		N	Non-healthcare professional
	0235		O	Other
	0235		P	Patient
	0235		R	Regulatory agency
HL7		Event Reported To		
	0236		D	Distributor
	0236		L	Local facility/user facility
	0236		M	Manufacturer
	0236		R	Regulatory agency
HL7		Event Qualification		
	0237		A	Abuse
	0237		B	Unexpected beneficial effect
	0237		D	Dependency
	0237		I	Interaction
	0237		L	Lack of expect therapeutic effect
	0237		M	Misuse
	0237		O	Overdose
	0237		W	Drug withdrawal
HL7		Event Seriousness		
	0238		N	No
	0238		S	Significant
	0238		Y	Yes
HL7		Event Expected		
	0239		N	No
	0239		U	Unknown
	0239		Y	Yes
HL7		Event Consequence		
	0240		C	Congenital anomaly/birth defect
	0240		D	Death
	0240		H	Caused hospitalized
	0240		I	Incapacity which is significant, persistent or permanent
	0240		J	Disability which is significant, persistent or permanent
	0240		L	Life threatening
	0240		O	Other
	0240		P	Prolonged hospitalization
	0240		R	Required intervention to prevent permanent impairment/damage
HL7		Patient Outcome		
	0241		D	Died
	0241		F	Fully recovered
	0241		N	Not recovering/unchanged
	0241		R	Recovering
	0241		S	Sequelae
	0241		U	Unknown
	0241		W	Worsening
HL7		Primary Observer's Qualification		
	0242		C	Health care consumer/patient
	0242		H	Other health professional
	0242		L	Lawyer/attorney
	0242		M	Mid-level professional (nurse, nurse practitioner, physician's assistant)
	0242		O	Other non-health professional
	0242		P	Physician (osteopath, homeopath)
	0242		R	Pharmacist
HL7		Identity May Be Divulged		
	0243		N	No
	0243		NA	Not applicable
	0243		Y	Yes
HL7		Status of Evaluation		
	0247		A	Evaluation anticipated, but not yet begun
	0247		C	Product received in condition which made analysis impossible
	0247		D	Product discarded -- unable to follow up
	0247		I	Product remains implanted -- unable to follow up
	0247		K	Problem already known, no evaluation necessary
	0247		O	Other
	0247		P	Evaluation in progress
	0247		Q	Product under quarantine -- unable to follow up
	0247		R	Product under recall/corrective action
	0247		U	Product unavailable for follow up investigation
	0247		X	Product not made by company
	0247		Y	Evaluation completed
HL7		Product source		
	0248		A	Actual product involved in incident was evaluated
	0248		L	A product from the same lot as the actual product involved was evaluated
	0248		N	A product from a controlled/non-related inventory was evaluated
	0248		R	A product from a reserve sample was evaluated
HL7		Relatedness Assessment		
	0250		H	Highly probable
	0250		I	Improbable
	0250		M	Moderately probable
	0250		N	Not related
	0250		S	Somewhat probable
HL7		Action Taken in Response to the Event		
	0251		DI	Product dose or frequency of use increased
	0251		DR	Product dose or frequency of use reduced
	0251		N	None
	0251		OT	Other
	0251		WP	Product withdrawn permanently
	0251		WT	Product withdrawn temporarily
HL7		Causality Observations		
	0252		AW	Abatement of event after product withdrawn
	0252		BE	Event recurred after product reintroduced
	0252		DR	Dose response observed
	0252		EX	Alternative explanations for the event available
	0252		IN	Event occurred after product introduced
	0252		LI	Literature reports association of product with event
	0252		OE	Occurrence of event was confirmed by objective evidence
	0252		OT	Other
	0252		PL	Effect observed when patient receives placebo
	0252		SE	Similar events in past for this patient
	0252		TC	Toxic levels of product documented in blood or body fluids
HL7		Indirect exposure mechanism		
	0253		B	Breast milk
	0253		F	Father
	0253		O	Other
	0253		P	Transplacental
	0253		X	Blood product
HL7		Kind of quantity		
	0254		ABS	Absorbance
	0254		ACNC	Concentration, Arbitrary Substance
	0254		ACT	*Activity
	0254		APER	Appearance
	0254		ARB	*Arbitrary
	0254		AREA	Area
	0254		ASPECT	Aspect
	0254		CACT	*Catalytic Activity
	0254		CCNT	*Catalytic Content
	0254		CCRTO	Catalytic Concentration Ratio
	0254		CFR	*Catalytic Fraction
	0254		CLAS	Class
	0254		CNC	*Catalytic Concentration
	0254		CNST	*Constant
	0254		COEF	*Coefficient
	0254		COLOR	Color
	0254		CONS	Consistency
	0254		CRAT	*Catalytic Rate
	0254		CRTO	Catalytic Ratio
	0254		DEN	Density
	0254		DEV	Device
	0254		DIFF	*Difference
	0254		ELAS	Elasticity
	0254		ELPOT	Electrical Potential (Voltage)
	0254		ELRAT	Electrical current (amperage)
	0254		ELRES	Electrical Resistance
	0254		ENGR	Energy
	0254		ENT	*Entitic
	0254		ENTCAT	*Entitic Catalytic Activity
	0254		ENTNUM	*Entitic Number
	0254		ENTSUB	*Entitic Substance of Amount
	0254		ENTVOL	*Entitic Volume
	0254		EQL	Equilibrium
	0254		FORCE	Mechanical force
	0254		FREQ	Frequency
	0254		IMP	Impression/ interpretation of study
	0254		KINV	*Kinematic Viscosity
	0254		LEN	Length
	0254		LINC	*Length Increment
	0254		LIQ	*Liquefaction
	0254		MASS	*Mass
	0254		MCNC	*Mass Concentration
	0254		MCNT	Mass Content
	0254		MCRTO	*Mass Concentration Ratio
	0254		MFR	*Mass Fraction
	0254		MGFLUX	Magnetic flux
	0254		MINC	*Mass Increment
	0254		MORPH	Morphology
	0254		MOTIL	Motility
	0254		MRAT	*Mass Rate
	0254		MRTO	*Mass Ratio
	0254		NCNC	*Number Concentration
	0254		NCNT	*Number Content
	0254		NFR	*Number Fraction
	0254		NRTO	*Number Ratio
	0254		NUM	*Number
	0254		OD	Optical density
	0254		OSMOL	*Osmolality
	0254		PRES	*Pressure (Partial)
	0254		PRID	Presence/Identity/Existence
	0254		PWR	Power (wattage)
	0254		RANGE	*Ranges
	0254		RATIO	*Ratios
	0254		RCRLTM	*Reciprocal Relative Time
	0254		RDEN	*Relative Density
	0254		REL	*Relative
	0254		RLMCNC	*Relative Mass Concentration
	0254		RLSCNC	*Relative Substance Concentration
	0254		RLTM	*Relative Time
	0254		SATFR	*Saturation Fraction
	0254		SCNC	*Substance Concentration
	0254		SCNCIN	*Substance Concentration Increment
	0254		SCNT	*Substance Content
	0254		SCNTR	*Substance Content Rate
	0254		SCRTO	*Substance Concentration Ratio
	0254		SFR	*Substance Fraction
	0254		SHAPE	Shape
	0254		SMELL	Smell
	0254		SRAT	*Substance Rate
	0254		SRTO	*Substance Ratio
	0254		SUB	*Substance Amount
	0254		SUSC	*Susceptibility
	0254		TASTE	Taste
	0254		TEMP	*Temperature
	0254		TEMPDF	*Temperature Difference
	0254		TEMPIN	*Temperature Increment
	0254		THRMCNC	*Threshold Mass Concentration
	0254		THRSCNC	*Threshold Substance Concentration
	0254		TIME	*Time (e.g. seconds)
	0254		TITR	*Dilution Factor (Titer)
	0254		TMDF	*Time Difference
	0254		TMSTP	*Time Stamp -- Date and Time
	0254		TRTO	*Time Ratio
	0254		TYPE	*Type
	0254		VCNT	*Volume Content
	0254		VEL	*Velocity
	0254		VELRT	*Velocity Ratio
	0254		VFR	*Volume Fraction
	0254		VISC	*Viscosity
	0254		VOL	*Volume
	0254		VRAT	*Volume Rate
	0254		VRTO	*Volume Ratio
User		Duration categories		
	0255		*	(asterisk) Life of the "unit."  Used for blood products.
	0255		12H	12 hours
	0255		1H	1 hour
	0255		1L	1 months (30 days)
	0255		1W	1 week
	0255		2.5H	2½ hours
	0255		24H	24 hours
	0255		2D	2 days
	0255		2H	2 hours
	0255		2L	2 months
	0255		2W	2 weeks
	0255		30M	30 minutes
	0255		3D	3 days
	0255		3H	3 hours
	0255		3L	3 months
	0255		3W	3 weeks
	0255		4D	4 days
	0255		4H	4 hours
	0255		4W	4 weeks
	0255		5D	5 days
	0255		5H	5 hours
	0255		6D	6 days
	0255		6H	6 hours
	0255		7H	7 hours
	0255		8H	8 hours
	0255		PT	To identify measures at a point in time.  This is a synonym for "spot" or "random" as applied to urine measurements.
HL7		Time delay post challenge		
	0256		10D	10 days
	0256		10M	10 minutes post challenge
	0256		12H	12 hours post challenge
	0256		15M	15 minutes post challenge
	0256		1H	1 hour post challenge
	0256		1L	1 month (30 days) post challenge
	0256		1M	1 minute post challenge
	0256		1W	1 week
	0256		2.5H	2 1/2 hours post challenge
	0256		20M	20 minutes post challenge
	0256		24H	24 hours post challenge
	0256		25M	25 minutes post challenge
	0256		2D	2 days
	0256		2H	2 hours post challenge
	0256		2L	2 months (60 days) post challenge
	0256		2M	2 minutes post challenge
	0256		2W	2 weeks
	0256		30M	30 minutes post challenge
	0256		3D	3 days
	0256		3H	3 hours post challenge
	0256		3L	3 months (90 days) post challenge
	0256		3M	3 minutes post challenge
	0256		3W	3 weeks
	0256		4D	4 days
	0256		4H	4 hours post challenge
	0256		4M	4 minutes post challenge
	0256		4W	4 weeks
	0256		5D	5 days
	0256		5H	5  hours post challenge
	0256		5M	5 minutes post challenge
	0256		6D	6 days
	0256		6H	6 hours post challenge
	0256		6M	6 minutes post challenge
	0256		7D	7 days
	0256		7H	7 hours post challenge
	0256		7M	7 minutes post challenge
	0256		8H	8 hours post challenge
	0256		8H SHIFT	8 hours aligned on nursing shifts
	0256		8M	8 minutes post challenge
	0256		9M	9 minutes post challenge
	0256		BS	Baseline (time just before the challenge)
	0256		PEAK	The time post drug dose at which the highest drug level is reached (differs by drug)
	0256		RANDOM	Time from the challenge, or dose not specified. (random)
	0256		TROUGH	The time post drug dose at which the lowest drug level is reached (varies with drug)
HL7		Nature of challenge		
	0257		CFST	Fasting (no calorie intake) for the period specified in the time component of the term, e.g., 1H POST CFST
	0257		EXCZ	Exercise undertaken as challenge (can be quantified)
	0257		FFST	No fluid intake for the period specified in the time component of the term
HL7		Relationship modifier		
	0258		BPU	Blood product unit
	0258		CONTROL	Control
	0258		DONOR	Donor
	0258		PATIENT	Patient
User		Modality		
	0259		AS	Angioscopy
	0259		BS	Biomagnetic imaging
	0259		CD	Color flow Doppler
	0259		CP	Colposcopy
	0259		CR	Computed radiography
	0259		CS	Cystoscopy
	0259		CT	Computed tomography
	0259		DD	Duplex Doppler
	0259		DG	Diapanography
	0259		DM	Digital microscopy
	0259		EC	Echocardiography
	0259		ES	Endoscopy
	0259		FA	Fluorescein angiography
	0259		FS	Fundoscopy
	0259		LP	Laparoscopy
	0259		LS	Laser surface scan
	0259		MA	Magnetic resonance angiography
	0259		MS	Magnetic resonance spectroscopy
	0259		NM	Nuclear Medicine (radioisotope study)
	0259		OT	Other
	0259		PT	Positron emission tomography (PET)
	0259		RF	Radio fluoroscopy
	0259		ST	Single photon emission computed tomography (SPECT)
	0259		TG	Thermography
	0259		US	Ultrasound
	0259		XA	X-ray Angiography
User		Patient location type		
	0260		B	Bed
